id,solution
0000,769184523521937864843652719176349258385216947492875631217593486958461372634728195
0001,721685394683947521945312867174258639298136475356794218569873142412569783837421956
0002,489752163235614789761398254317869425694275318528431697156947832942183576873526941
0003,264189735351742689798356214927861453815234976436975128572493861143628597689517342
0004,874316295652798341319254687527869413143572869986143572491635728265987134738421956
0005,954726831728314956361589742647132589839465127215978463172843695496257318583691274
0006,369257481842913756517486293425138679791564832638729145153872964284695317976341528
0007,439152876286743591517698243872536914195427368364819725951374682623981457748265139
0008,158964273623785419749123586861537924574219638932648157497351862316892745285476391
0009,793254681512896437648173295271649358859732164364581972986425713437918526125367849
0010,362159478479683512851247936123596847687324195945871263296718354718435629534962781
0011,359268741142735698786941352874196235635824179921573864563482917498617523217359486
0012,754319862821576493369824751648157239137492586295638174476283915583941627912765348
0013,741865239896321457235794816189647325527913648364258971672539184918472563453186792
0014,896345127571962834432817695918753462267491583354628719685279341123584976749136258
0015,749862315861534927253719486624375891185496273397281654576923148918647532432158769
0016,743512698568947312912368745681735429235894176497126583176259834359481267824673951
0017,829176435314852679675349218486213957231795864957684321168927543743568192592431786
0018,872519346359846721461732895784965132596123487213478569137694258945281673628357914
0019,145638972736592841289147356514723698623859714897461235472985163351276489968314527
0020,127946583596832471834715296753124869481659732269378154615283947378491625942567318
0021,761948235582376914349251867478693521215487396693512478834769152127835649956124783
0022,925487136613259487784316295461872953572193648839564712147638529298745361356921874
0023,276843915513297684894516372785321496621489537439675128367158249148962753952734861
0024,257463198943185276816297534479852613162349785385716942694578321728631459531924867
0025,978261534426537981135849726851473269293658417764192853649385172517926348382714695
0026,123586947745291638968437512276145893354829761819763425697318254481952376532674189
0027,918435267362798541754162893521987634489316752637254189276843915893571426145629378
0028,423879651956413782781265349837126594649758123512394867165947238374582916298631475
0029,236841597751296843498357261875623914964185732312974685543768129627419358189532476
0030,519247638463819275827653149756194823984362517231578964395421786642785391178936452
0031,716893254248516397539247816485762139197354628623189475971628543362475981854931762
0032,853642719792581634461973258329465187617328495584197326245739861178256943936814572
0033,128457693364198752975623814591386247642571938837249165456812379783964521219735486
0034,271356849594287613863941572146532987728469135935718426319875264482693751657124398
0035,435917268916842537782356419629574183157683924348129675574268391863491752291735846
0036,657918243249367815813542769135289674426173958978456132381695427594721386762834591
0037,352981764478236195691574832985612473763849521124753986849325617216497358537168249
0038,738956421649217583512438796964573812183624957257891364426789135871365249395142678
0039,295318746814726953637945218546832197723591684981467532369254871158673429472189365
0040,378169542125438976964725831412693785896517324753284169681972453539846217247351698
0041,526874139493621857817395642241539768368712594759486213982153476134267985675948321
0042,578612394961743825423589167795361248142978653386254971219435786634897512857126439
0043,625719348731824596498563127254187963386295714179436285943672851517948632862351479
0044,934657182856192743172438569721849356369725418548316927697581234213964875485273691
0045,951328746678941523234576981149732865785619432362854179417265398596483217823197654
0046,642538197987164352153792468795621834328459671416387925861975243279843516534216789
0047,758923164394167285261854379829536417436271958175489632683792541917345826542618793
0048,867319524541268739329745618196432875734851296258976143613597482472683951985124367
0049,397521864842673591165894372681457239239186457754932186518749623473265918926318745
0050,248765931673941582159823746381492675492657318765138294826319457914576823537284169
0051,426953781951728463873461259162534978385179642749286315234817596598642137617395824
0052,916857342745623918832419657284361579691745283573982164428536791169274835357198426
0053,419376528352418967687592341178659432536247819924831756263985174841723695795164283
0054,352189674749652813681374592126843759493567281875921436237498165518236947964715328
0055,629845317843719256751326489576183924914257863238964571197532648365478192482691735
0056,563719428821645937974283651156892374748361592392574186217936845435128769689457213
0057,239651784678342951154879236825714369967583412413296578381425697746938125592167843
0058,234917568759683214681524397372896451168435729945172683823769145597241836416358972
0059,524761893639485271781293465257619348468537912193824756312946587976358124845172639
0060,427359618519826743836471295794283561258614379163795482685942137372168954941537826
0061,569834127128976453734251896481329675976145382352687941293568714845713269617492538
0062,185296473367485219294731865648913752951672348723548196416829537839157624572364981
0063,945627831168439572732518694681274359479356218253891467816743925594162783327985146
0064,452137968179864352638925741297483615814659237365712489783596124546271893921348576
0065,918437562542681793637925418123876945475219836869354271396548127754162389281793654
0066,589237146263841975471965328635724891142589637897613254728356419354198762916472583
0067,314596782987213456562874913241759638675348291893162547738425169426981375159637824
0068,742658391396721548581439762267913485139584627458276913874165239923847156615392874
0069,912754683467832591835961472254398716189476325376125948691587234543219867728643159
0070,973246851465178293218395476347582169896413527521967348134659782682734915759821634
0071,927365841534918267168724953476159382395682714812437596241893675759246138683571429
0072,925648371163972845847351629754136982612897453398425167536789214471263598289514736
0073,875392146624815379139764258418926537396157482752438961981643725247581693563279814
0074,631948527729516834854732961973185642465329718182467359296854173348671295517293486
0075,791234586863975214245168937972316845158429673634857129529783461316542798487691352
0076,531789264427361598869425713972843651658172349314596872246958137195237486783614925
0077,352879614419635782768412395673921458821754963594368271287193546945286137136547829
0078,731425689429863175658719342917238564382654917546197238895376421273541896164982753
0079,237859614846123975951746382329618547168574239574932168612497853495381726783265491
0080,542138697368957124917642835793864251425319786681725349156483972239571468874296513
0081,372564981596138247814729365769251834423876519158493726285617493941385672637942158
0082,216458739937261458845793261372514986581629347469837125693145872158372694724986513
0083,193254867457638291286197453615489372348726519972315648724861935531942786869573124
0084,236185479451297836789634215314829657972561384568743921123476598847952163695318742
0085,756819234128354697943267518867431925531928476294576381472683159319745862685192743
0086,568379124132648579749125836417836295253791468896254317624983751381567942975412683
0087,137625489658439271942187356795341628216578943384962517563714892421896735879253164
0088,618943257942578136573126894286317945394685721157294368421859673835762419769431582
0089,469318725351276498782954613294581376836792154517643982675839241128467539943125867
0090,793518462185642793426937158817296345654381279932754816378169524561423987249875631
0091,845796132312854976697312548184279365926135784753468291438527619579681423261943857
0092,167923854582461739943758261396175482275384196418296573739812645851649327624537918
